mfcc_5_mean,mean_spectral_contrast,mfcc_3_std,mfcc_2_mean,std_spectral_bandwidth,mfcc_12_mean,mfcc_1_mean,mfcc_2_std,mfcc_10_mean,rms_energy,mfcc_10_std,mfcc_6_mean,mfcc_8_mean,mfcc_4_mean,mfcc_13_mean,mfcc_7_mean,mfcc_3_mean,mfcc_8_std,mfcc_11_mean,mfcc_5_std
-11.671398,417.7251958796223,40.383663,92.12932,497.3921150229762,2.6213133,-262.54718,61.97043,3.0268734,0.08159035,12.174751,5.4851904,1.4710162,21.073866,-10.262294,-6.910289,4.80502,3.797931147348514,-17.304638,24.55902
-9.054699,447.9521029129535,44.48955,87.71641,618.5950816753956,-2.9139194,-267.04733,63.48284,-5.7080874,0.103614,10.345853,6.286307,-5.5523133,22.838448,-8.258378,-3.9229767,3.6279638,3.834075507863662,-9.757476,23.703981
-23.096943,454.6884661175507,34.52874,61.054928,324.41257635252725,-5.57588,-244.46873,41.608604,-5.1181636,0.090488635,9.153461,3.2630398,5.7894225,38.509434,-4.5782866,-20.168808,-0.9345388,3.719684126374174,-10.595976,23.32769
-14.899499,486.2048796574169,32.190178,68.672775,424.41224930757136,-6.242685,-212.6549,46.90767,-3.7735918,0.09374665,10.671691,-5.8232055,-8.475605,41.659954,-2.4527938,-11.366689,17.933558,3.618222768155659,-5.1936655,19.668295
-17.044884,439.6494330586892,35.0652,81.54794,395.7726610343082,-3.396178,-217.39458,44.113056,-2.9532096,0.09647069,15.347201,-3.5659008,-9.129103,43.56226,3.3486884,-14.473904,-10.88209,3.684631053443479,-0.10647068,20.844385
-6.185728,452.4237139855472,36.30027,72.90003,335.8688673540659,-4.4490857,-212.01472,49.63194,-10.907134,0.092014015,13.989456,1.5575017,-14.2872,48.43668,-10.409276,-3.996521,-6.3522696,3.952710715445794,-18.899984,17.590836
-19.41589,483.9312010883625,36.06575,81.32098,422.37114600267097,-11.316576,-252.90369,40.11866,-4.4491234,0.10194223,11.020801,-6.735114,-6.870887,44.64742,-1.8585807,-29.172222,-6.339747,3.44222602395601,-11.221816,19.641685
-17.371187,462.6039812832844,38.594074,68.670456,443.96859356529126,-0.21401916,-216.5333,50.622456,-2.7436192,0.1283074,9.557773,1.2864082,-1.1007957,30.441034,-13.264525,-11.83406,7.352186,3.8385751262675583,-17.641546,24.600061
-12.442301,490.6782949853225,45.12666,74.55537,578.2841999144136,-2.8649685,-258.5982,57.30186,-8.987963,0.122610204,12.447445,0.121372305,-2.7551792,33.55642,-11.178309,-1.0217539,4.950125,3.758525508760051,-8.995208,24.851908
-26.246483,504.97477619285957,42.696125,76.04387,339.4036185636689,-9.612456,-276.49173,32.931404,-6.1932416,0.06886507,11.316547,-4.4015536,2.8952959,42.46195,-0.9197476,-21.246115,-25.45917,3.6072213683110714,-10.097709,22.550642
